FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;SI;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;AT;PC_GDP;OBJ03,0.039 ,0.043 ,0.056 ,0.147 ,0.198 ,0.175 ,0.155 ,0.174 ,0.238 ,0.303 ,0.34 ,0.304 ,0.358 ,0.346 ,0.228 ,0.39 ,0.389 ,0.362 
A;BE;PC_GDP;OBJ03,0.002 ,0.012 ,0.001 ,0.002 ,0.006 ,0.021 ,0.054 ,0.064 ,0.038 ,0.083 ,0.121 ,0.087 ,0.077 ,0.113 ,0.031 ,0.013 ,0.018 ,0.021 
A;BG;PC_GDP;OBJ03,0 ,0 ,0.021 ,0.005 ,0.004 ,0.001 ,0 ,0 ,0 ,0 ,0.003 ,0.005 ,0.735 ,0.733 ,0.721 ,0.709 ,0.817 ,1.027 
A;CY;PC_GDP;OBJ03,0.016 ,0.009 ,0.019 ,0.024 ,0.012 ,0.008 ,0.002 ,0.008 ,0.028 ,0.024 ,0 ,0.026 ,0.019 ,0.272 ,0.274 ,0.387 ,0.388 ,0.281 
A;CZ;PC_GDP;OBJ03,0.059 ,0.035 ,0.032 ,0.093 ,0.045 ,0.008 ,0.017 ,0.003 ,0.005 ,0.007 ,0.028 ,0.039 ,0.048 ,0.178 ,0.186 ,0.217 ,0.896 ,0.912 
A;DE;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;PC_GDP;OBJ03,0.029 ,0.036 ,0 ,0.001 ,0.001 ,0.008 ,0.003 ,0.001 ,0.014 ,0.006 ,0.037 ,0.021 ,0.04 ,0.304 ,0.477 ,0.688 ,0.656 ,0.689 
A;EL;PC_GDP;OBJ03,0.001 ,0 ,0 ,0.007 ,0.008 ,0.008 ,0.01 ,0.002 ,0.009 ,0.015 ,0 ,0.001 ,0.003 ,0.031 ,0.008 ,0.016 ,0.007 ,0.011 
A;ES;PC_GDP;OBJ03,0.006 ,0.008 ,0.007 ,0.006 ,0.011 ,0.018 ,0.017 ,0.018 ,0.046 ,0.076 ,0.07 ,0.077 ,0.091 ,0.005 ,0.015 ,0.005 ,0.035 ,0.01 
A;EU28;PC_GDP;OBJ03,0.058 ,0.068 ,0.076 ,0.092 ,0.108 ,0.113 ,0.118 ,0.095 ,0.1 ,0.116 ,0.11 ,0.099 ,0.11 ,0.117 ,0.302 ,0.316 ,0.383 ,0.4 
